""	"Axis1"	"Axis2"	"Axis3"	"sample_type"
"HMP2_J09116_1_ST_T0_B0_0120_ZLGD9M0-09_ADM3N"	-10.42561335713	3.8238831272266	-1.84383405823185	"IS"
"HMP2_J09117_1_ST_T0_B0_0120_ZL9BTWF-09_ADM3N"	0.137453563870938	0.0721155085945555	3.15233652222388	"IS"
"HMP2_J09118_1_ST_T0_B0_0120_ZL9BTWF-1022_ADM3N"	0.0267516818332194	0.215134862338454	3.44749760762186	"IS"
"HMP2_J09119_1_ST_T0_B0_0120_ZL9BTWF-1023_ADM3N"	-0.244744044426316	0.142654353145099	3.77852275607713	"IS"
"HMP2_J09121_1_ST_T0_B0_0120_ZL9BTWF-1025_ADM3N"	0.186240098627041	0.166240563097215	2.71654478372853	"IS"
"HMP2_J09134_1_ST_T0_B0_0120_ZLZQMEV-04_ADM3N"	-0.598229365832248	0.910122406094474	2.09315479325563	"IR"
"HMP2_J09139_1_ST_T0_B0_0120_ZX52KVK-1011_ADM3N"	0.135099805523804	-0.405927711509215	-0.0369599876450259	"IR"
"HMP2_J09140_1_ST_T0_B0_0120_ZX52KVK-1012_ADM3N"	-2.04696518376169	-1.81605000239149	1.08665686142043	"IR"
"HMP2_J09141_1_ST_T0_B0_0120_ZX52KVK-1014_ADM3N"	-1.53603563127617	-0.669597693663787	2.70138396139251	"IR"
"HMP2_J09144_1_ST_T0_B0_0120_ZVNCGHM-1011-AL2_ADM3N"	-1.71442428538482	2.05629487978222	1.58244352400078	"IS"
"HMP2_J09145_1_ST_T0_B0_0120_ZVNCGHM-1013_ADM3N"	-1.74186537995349	0.683794141940253	4.71812931774901	"IS"
"HMP2_J09146_1_ST_T0_B0_0120_ZVNCGHM-1014_ADM3N"	-3.61094426159521	2.42522302447122	-1.13935347663943	"IS"
"HMP2_J09147_1_ST_T0_B0_0120_ZVNCGHM-1015_ADM3N"	0.239939714839888	0.282566933498087	-1.42241643651956	"IS"
"HMP2_J09148_1_ST_T0_B0_0120_ZVNCGHM-1022_ADM3N"	-1.31256353219701	1.13831811800416	-0.788319525313749	"IS"
"HMP2_J09149_1_ST_T0_B0_0120_ZLZNCLZ-1021_ADM3N"	0.989695984335988	0.417610692517664	0.062569381430087	"IS"
"HMP2_J09150_1_ST_T0_B0_0120_ZLZNCLZ-1023_ADM3N"	0.301668239553312	1.26366419529301	-0.141060879582985	"IS"
"HMP2_J09151_1_ST_T0_B0_0120_ZLZNCLZ-1025_ADM3N"	-0.50391002883237	1.84137039720453	-0.3213786369601	"IS"
"HMP2_J15231_1_ST_T0_B0_0120_ZY7IW45-02_AELNK"	0.297705750079666	0.636978285996827	0.287994057782048	"IR"
"HMP2_J15233_1_ST_T0_B0_0120_ZY7IW45-04_AELNK"	-0.681473456116659	0.767214702843668	1.6220213504157	"IR"
"HMP2_J15235_1_ST_T0_B0_0120_ZWCZHHY-02_AELNK"	0.855312414240306	0.271285176884897	-0.456224702705707	"IR"
"HMP2_J15236_1_ST_T0_B0_0120_ZWCZHHY-03_AELNK"	0.0839718902460899	0.354334567918115	1.24908715563739	"IR"
"HMP2_J15237_1_ST_T0_B0_0120_ZW61YGW-01_AELNK"	0.257162190695898	2.30967704340982	-0.617534113181506	"IR"
"HMP2_J15238_1_ST_T0_B0_0120_ZW61YGW-02_AELNK"	0.795253976197123	0.354585680702351	0.540522361487322	"IR"
