SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
pHILIC_703.5724_5.7	11035421.86	15527079.07	16702357.39	17549829.44
pHILIC_731.6033_5.7	3296620	2757027.867	4944105.947	3300878.889
pHILIC_785.6497_5.6	8162570.071	8280784.533	9003493.579	8707542.111
pHILIC_813.6806_5.6	10332294.79	11229942.07	10657745.26	10288524
pHILIC_892.6501_5	124390.0302	100198.722	161213.6475	346781.3111
pRPLC_100.0756_1.2	144908.7543	383107.6733	317125.6211	80218.16889
pRPLC_153.0658_1.2	409655.2643	520767.36	335541.6474	419174.1678
pRPLC_153.0658_1.7	122397.5593	181674.2267	103372.1179	208352.8822
pRPLC_162.1123_0.6	531302.8786	771147.14	745801.9895	381879.2444
pRPLC_166.0724_1.2	56174.50571	66555.868	57346.48579	46738.32544
pRPLC_180.0654_2	727385.3571	1134178.473	221136.8489	473884.4889
pRPLC_181.0718_3.1	1684648.379	819460.71	2336387.337	824962.4264
pRPLC_181.0719_3.4	4538899.714	882795.78	1261159.684	2509118.711
pRPLC_195.0875_4.6	6353491.429	1135474.741	1515785.855	2727622.151
pRPLC_204.0655_4.8	27317.70264	14615.20553	902004.2105	63894.13492
pRPLC_232.1543_0.9	323491.1286	334379.5467	272732.8842	347884.9615
pRPLC_244.1544_1.7	6304.063214	16098.42593	8186.048684	8425.603889
pRPLC_260.1858_3.3	79435.59929	75343.89733	107456.0947	198880.0076
pRPLC_261.1446_0.8	25289.12143	38746.184	30164.12105	18760
pRPLC_261.1446_1	43219.01071	64950.33467	48678.56579	32117.20667
pRPLC_265.1184_2.6	804945.4643	1633041.367	458580.8453	1359016.533
pRPLC_269.2264_10.4	620053.2357	692582.1733	796656.3684	688332.6448
pRPLC_286.1439_8.4	1434146.443	2724240.607	2098394.379	442909.7368
pRPLC_286.1439_8.5	1961434.471	2057949.68	3106922.026	474608.0892
pRPLC_286.2015_4.3	784067.1929	738145.8333	1438929.137	412409.1111
pRPLC_288.2172_5.1	563444.6929	633392.9067	366810.0158	1781581.448
pRPLC_295.1292_1.3	30104.46	42549.214	31334.59263	22750.83222
pRPLC_312.1305_2.8	19187.92286	27280.79333	20732.50053	18702.82378
pRPLC_312.2171_5.4	66212.01571	64768.52933	62674.12842	76100.51111
pRPLC_313.1548_3.5	13883.08786	21243.75867	15056.06153	13123.07241
pRPLC_314.2328_6.1	505917.3643	661825.0733	415070.7789	899088.4421
pRPLC_316.2484_6.6	1250021.236	1516540.427	808785.9421	4333605.139
pRPLC_342.2639_7.2	550144.5714	533672.7133	495769.6158	1005300.146
pRPLC_344.2796_7.8	347155.2714	435559.34	452336.7632	893768.5213
pRPLC_352.1657_3.7	55858.98071	70171.13533	75008.86158	81058.60667
pRPLC_352.2248_8.5	138317.925	99912.94067	159787.7979	123659.4454
pRPLC_359.3154_11	2390730.479	3564860.733	2930487.842	1849614.933
pRPLC_368.2795_7.7	297784.7357	401619.96	496132.2474	515820.4294
pRPLC_370.2952_8.2	545843.3786	552764.2933	980253.7474	1161463.075
pRPLC_380.2561_9.4	472487.2857	548790.6467	498414.7421	414343.8778
pRPLC_382.2719_9.6	29080.99929	52499.60333	33476.21516	28981.67796
pRPLC_424.3421_9.2	303353.25	492588.6867	497499.8684	257606.7067
pRPLC_426.3576_9.5	443313.0357	647353.3	699685.1632	448310.0778
pRPLC_438.2976_10.2	102034.8207	194198.1467	128109.5916	89575.85578
pRPLC_454.2927_9.9	696723.5	793767.7467	1358748.563	1065252.011
pRPLC_468.3085_9.3	3833341.786	2171238.633	4836208.316	3200859.444
pRPLC_478.2927_9.7	2999145.5	3158245.133	4952335.421	2846439.539
pRPLC_480.3446_10.3	982883.2786	1556333.933	1199781.395	710646.1444
pRPLC_482.3238_10.5	479014.0571	681286.0667	1043995.947	575491.7111
pRPLC_482.324_9.7	1601871.05	1162371.613	2192514.737	1047008.453
pRPLC_494.324_9.5	5341278.5	3345985.067	6185554.053	4813350.933
pRPLC_496.3395_10	80342070.71	90198848.67	104850215.3	72479967.16
pRPLC_502.2927_9.7	2746409.571	3759504.467	6080247.474	2887169.367
pRPLC_504.3082_10	144244.3643	154774.0927	244712.9211	134062.7478
pRPLC_506.3601_10.4	119637.32	199153.1333	135893.4642	73838.3926
pRPLC_508.3397_9.9	501176.4571	363066.6333	664733.2947	401766.0488
pRPLC_508.376_10.5	524927.5071	792350.94	655772.8579	344166.7642
pRPLC_510.3554_10.3	2045691.286	2132919.067	2918145.211	1562870.982
pRPLC_510.3913_10.9	142079.2293	241580.0067	180472.6142	99413.042
