HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB11749	60967.20056	265107.1539	1.031313528	0.30663584	0.767778111	-4.595119847
HMDB00070	-204012.7801	1454206.591	-1.025876217	0.309170317	0.768169325	-4.595119848
HMDB11149	-25376.82828	208545.1427	-1.009153682	0.317053935	0.770992558	-4.595119849
HMDB01325	-148071.1643	1036108.176	-1.005391741	0.318845929	0.770992558	-4.59511985
HMDB02014	121873.4446	611998.8972	0.999787355	0.321528159	0.770992558	-4.59511985
HMDB03229	1040561.646	10702815.24	0.998859612	0.321973626	0.770992558	-4.59511985
HMDB00197	-50425.70789	420063.0143	-0.988281241	0.327082164	0.770992558	-4.595119851
HMDB31057	26475.67684	439410.6617	0.988105751	0.327167365	0.770992558	-4.595119851
HMDB00329	-10898.0357	69815.83598	-0.980439346	0.330903859	0.770992558	-4.595119852
HMDB00672	-4056.507623	64261.08162	-0.974277252	0.333927623	0.770992558	-4.595119853
HMDB13122	-42541.61468	673426.8715	-0.969267685	0.336399267	0.770992558	-4.595119853
HMDB00267	1631776.801	6963662.009	0.968485799	0.336786124	0.770992558	-4.595119853
HMDB04207	11795.69816	282251.1332	0.966537489	0.337751375	0.770992558	-4.595119853
HMDB29006	5115.985524	71262.06823	0.964122643	0.338950289	0.770992558	-4.595119854
HMDB00407	-98559.67369	738494.0048	-0.931208221	0.355570318	0.785074077	-4.595119857
HMDB02823	4976.706234	52369.03311	0.929204638	0.356598779	0.785074077	-4.595119857
HMDB00300	-3042.179837	86880.19592	-0.926215057	0.358136935	0.785074077	-4.595119857
HMDB61115	-1394355.061	2621663.107	-0.917542216	0.362623345	0.785074077	-4.595119858
HMDB00172|HMDB00687	246763.076	5575696.502	0.917264246	0.362767731	0.785074077	-4.595119858
HMDB00764	-22855.24093	84867.43717	-0.913052092	0.364960182	0.785074077	-4.595119858
HMDB02183	29892.45141	201766.3402	0.904827338	0.369265631	0.785074077	-4.595119859
HMDB00168	-4358.339963	129253.5249	-0.902613727	0.370429912	0.785074077	-4.595119859
HMDB10318	206095.8682	182685.2467	0.901772318	0.370873075	0.785074077	-4.595119859
HMDB61693	-4067.105948	27022.9539	-0.899957113	0.371830279	0.785074077	-4.595119859
HMDB0000746	-12585.22688	158492.3732	-0.894791823	0.374562657	0.785074077	-4.59511986
HMDB10351	6242.527035	64678.17963	0.89022294	0.376990128	0.785074077	-4.59511986
HMDB00123	-2366.488165	61607.62623	-0.886731827	0.378851666	0.785074077	-4.595119861
HMDB02000	245736.4809	1043341.098	0.881938861	0.381416816	0.785074077	-4.595119861
HMDB00301	12733.30957	167093.596	0.877142857	0.383994508	0.785074077	-4.595119861
HMDB00791	318870.4601	745682.5637	0.87257087	0.386461956	0.785074077	-4.595119862
HMDB00462	-872017.1213	1528246.154	-0.872444409	0.386530346	0.785074077	-4.595119862
HMDB10379	351196.9499	4268869.744	0.867511023	0.38920424	0.785074077	-4.595119862
HMDB00529	56581.99748	165913.1986	0.856126229	0.395418723	0.785074077	-4.595119863
HMDB00755	-45766.63378	858903.1782	-0.852942995	0.397167263	0.785074077	-4.595119863
HMDB29377	-308636.8192	1702466.522	-0.851534588	0.397942421	0.785074077	-4.595119864
HMDB12096	-41403.55695	332816.0262	-0.85031672	0.398613463	0.785074077	-4.595119864
HMDB04666	3926.853293	16875.18504	0.83948674	0.404611453	0.787746862	-4.595119865
HMDB13326	79578.60662	504975.683	0.837640436	0.405639494	0.787746862	-4.595119865
