HMDB	fold_change	pval	adj_pval
HMDB11559	0.150967645	0.421661468	0.757670027
HMDB02329	0.094834313	0.42166513	0.757670027
HMDB01847	0.055695556	0.422168249	0.757670027
HMDB00603	-0.288758386	0.422364236	0.757670027
HMDB01868	0.215890493	0.425033357	0.757670027
HMDB03099	-0.117178877	0.427492701	0.757670027
HMDB00641	0.045524558	0.428020746	0.757670027
HMDB03869	0.070014073	0.428066775	0.757670027
HMDB00517	0.069643874	0.429268158	0.757670027
HMDB11131	0.211277531	0.434975959	0.762126309
HMDB00139	0.162289036	0.437427194	0.762126309
HMDB03331	-0.20914633	0.43953082	0.762126309
HMDB00625	-0.243646641	0.441231021	0.762126309
HMDB00650	0.053331732	0.45015818	0.770406456
HMDB0000518	0.054654979	0.450795109	0.770406456
HMDB61115	0.048485827	0.454268898	0.772257126
HMDB03374	-0.153476696	0.465329895	0.785691935
HMDB10381	-0.084913535	0.473602784	0.785691935
HMDB00637	-0.067265256	0.474086897	0.785691935
HMDB02639	-0.167044426	0.478728706	0.785691935
HMDB00782	-0.06599257	0.480598774	0.785691935
HMDB00764	-0.083668748	0.482831937	0.785691935
HMDB00883	-0.149835744	0.486389297	0.785691935
HMDB00430	0.092666716	0.487386832	0.785691935
HMDB10408	0.080222104	0.48906527	0.785691935
HMDB00036	0.167447115	0.492742816	0.785691935
HMDB11481	-0.180687056	0.501059692	0.785691935
HMDB11621	-0.139252105	0.501646975	0.785691935
HMDB10357	0.071772432	0.501889515	0.785691935
HMDB00574	-0.072576936	0.502280959	0.785691935
HMDB00755	0.09971798	0.508708658	0.785691935
HMDB00806	0.111553432	0.511358564	0.785691935
HMDB01999	-0.039880986	0.511835307	0.785691935
HMDB02014	-0.039030481	0.512886869	0.785691935
HMDB00156	-0.063736646	0.513450843	0.785691935
HMDB00289	0.083442314	0.515565972	0.785691935
HMDB59724	0.033531336	0.516937948	0.785691935
HMDB10404	0.292236294	0.516987435	0.785691935
HMDB00929	0.04848463	0.523336144	0.785691935
HMDB02231	0.050986943	0.524203025	0.785691935
HMDB01325	-0.043209046	0.527149266	0.785691935
HMDB00017	0.067000626	0.527514492	0.785691935
HMDB10391	0.017777898	0.527848762	0.785691935
HMDB11493	-0.2354531	0.53294551	0.787688192
HMDB00251	-0.299797928	0.534067226	0.787688192
HMDB00019	-0.050538748	0.543288331	0.793349041
HMDB00884	0.081381904	0.546979004	0.793349041
HMDB31057	-0.155997032	0.549930239	0.793349041
HMDB11171	0.140207777	0.550966399	0.793349041
HMDB00767	0.11148741	0.55192894	0.793349041
HMDB00305	0.05890278	0.555848626	0.793349041
HMDB29377	-0.146799396	0.555878136	0.793349041
HMDB11531	0.077829317	0.557554899	0.793349041
HMDB00529	-0.1470459	0.573127446	0.808627771
HMDB11749	0.089311719	0.57556697	0.808627771
HMDB10401	0.188480272	0.576499796	0.808627771
HMDB00430	0.025682963	0.578306548	0.808627771
HMDB01860	-0.13004643	0.584081808	0.812296591
HMDB00167	0.059475741	0.58596008	0.812296591
HMDB11532	0.123199627	0.588711592	0.812623266
HMDB61714	-0.030801289	0.609751063	0.833602292
HMDB33592	-0.062921913	0.610298703	0.833602292
HMDB02000	0.161099371	0.613518633	0.833602292
HMDB00848	0.094894552	0.614233268	0.833602292
HMDB11483	0.11898191	0.618491175	0.835868826
HMDB29159	-0.048052529	0.623239594	0.838776621
HMDB11532	-0.047483809	0.637372568	0.854237924
HMDB0011635	-0.053667525	0.645185928	0.859929065
