""	"x"
"206"	"pRPLC_524.3708_10.6"
"207"	"pRPLC_520.3396_9.8"
"208"	"pRPLC_552.402_11.1"
"209"	"pRPLC_550.3864_10.7"
"210"	"pRPLC_548.3709_10.4"
"211"	"pRPLC_546.3545_10.1"
"212"	"pRPLC_544.3392_9.8"
"213"	"pHILIC_542.3221_6"
"214"	"pRPLC_580.4347_11.8"
"215"	"pRPLC_572.3708_10.3"
"216"	"pRPLC_568.339_9.8"
"217"	"pRPLC_510.3913_10.9"
"218"	"pRPLC_480.3446_10.3"
"219"	"pRPLC_508.376_10.5"
"220"	"pRPLC_506.3601_10.4"
"221"	"pRPLC_454.2927_9.9"
"222"	"nRPLC_450.2624_9.5"
"223"	"pRPLC_482.3238_10.5"
"224"	"nRPLC_478.2939_10.1"
"225"	"pRPLC_478.2927_9.7"
"226"	"nRPLC_508.3404_10.6"
"227"	"pRPLC_508.3397_9.9"
"228"	"nHILIC_504.3095_5.8"
"229"	"pRPLC_504.3082_10"
"230"	"pRPLC_502.2927_9.7"
"231"	"pRPLC_538.3863_10.8"
"232"	"nRPLC_528.309_10.2"
"233"	"nRPLC_526.2939_9.9"
"234"	"pRPLC_526.2924_9.8"
"235"	"pRPLC_438.2976_10.2"
"236"	"nRPLC_597.3048_11.9"
"237"	"nRPLC_619.2888_11.3"
"238"	"nRPLC_299.2228_9.6"
"239"	"nRPLC_299.2228_9.3"
"240"	"nRPLC_299.2227_9.9"
"241"	"nRPLC_315.2541_9.4"
"242"	"nRPLC_315.2541_9.2"
"243"	"nRPLC_315.2539_9.7"
"244"	"nRPLC_327.2538_10.5"
"245"	"pRPLC_359.3154_11"
"246"	"nRPLC_355.2852_11"
"247"	"nRPLC_351.254_10.3"
"248"	"nRPLC_385.332_10.8"
"249"	"nRPLC_377.2696_10.5"
"250"	"nRPLC_377.2698_9.2"
"251"	"nRPLC_375.254_10.2"
"252"	"nRPLC_409.3322_11.2"
"253"	"nRPLC_441.3947_11.3"
"254"	"nRPLC_441.395_11.2"
"255"	"nRPLC_439.3792_11.1"
"256"	"pHILIC_280.1384_8"
"257"	"pRPLC_153.0658_1.2"
"258"	"pRPLC_153.0658_1.7"
"259"	"pHILIC_282.119_6.7"
"260"	"pHILIC_189.1233_8.4"
"261"	"nRPLC_411.127_3.6"
"262"	"nRPLC_172.098_2.8"
"263"	"nRPLC_206.0821_3.4"
"264"	"nHILIC_146.0458_7.6"
"265"	"pHILIC_161.1283_16.4"
"266"	"nHILIC_176.0387_4.9"
"267"	"pHILIC_133.097_16.1"
"268"	"nHILIC_287.052_8.1"
"269"	"nHILIC_88.988_11"
"270"	"nRPLC_312.2546_10.4"
"271"	"nHILIC_218.1032_6.5"
"272"	"pRPLC_181.0718_3.1"
"273"	"nRPLC_283.0822_2.4"
"274"	"nRPLC_187.007_2.3"
"275"	"nRPLC_172.9914_0.9"
"276"	"pRPLC_313.1548_3.5"
"277"	"pRPLC_352.1657_3.7"
"278"	"nRPLC_163.0765_7.4"
