	logFC	AveExpr	t	P.Value	adj.P.Val	B
nHILIC_74.0246_9.6	-2366.488165	61607.62623	-0.886731827	0.378851666	0.785074077	-4.595119861
nRPLC_225.186_9.8	245736.4809	1043341.098	0.881938861	0.381416816	0.785074077	-4.595119861
pHILIC_139.0501_7.6	12733.30957	167093.596	0.877142857	0.383994508	0.785074077	-4.595119861
pRPLC_288.2172_5.1	318870.4601	745682.5637	0.87257087	0.386461956	0.785074077	-4.595119862
nHILIC_157.0366_6.1	-872017.1213	1528246.154	-0.872444409	0.386530346	0.785074077	-4.595119862
pRPLC_468.3085_9.3	351196.9499	4268869.744	0.867511023	0.38920424	0.785074077	-4.595119862
nRPLC_197.1547_9	56581.99748	165913.1986	0.856126229	0.395418723	0.785074077	-4.595119863
nHILIC_181.0506_6.2	-45766.63378	858903.1782	-0.852942995	0.397167263	0.785074077	-4.595119863
pRPLC_286.1439_8.4	-308636.8192	1702466.522	-0.851534588	0.397942421	0.785074077	-4.595119864
pRPLC_647.5116_11.7	-41403.55695	332816.0262	-0.85031672	0.398613463	0.785074077	-4.595119864
nRPLC_377.2698_9.2	3926.853293	16875.18504	0.83948674	0.404611453	0.787746862	-4.595119865
pRPLC_342.2639_7.2	79578.60662	504975.683	0.837640436	0.405639494	0.787746862	-4.595119865
nRPLC_197.1547_9.1	21340.4692	188550.5826	0.834687436	0.407287077	0.787746862	-4.595119865
nRPLC_369.1729_8.9	93825.20983	775755.5392	0.822218193	0.414289125	0.791518725	-4.595119866
nHILIC_120.0124_7.6	23497.24738	594852.6518	0.818749418	0.416249914	0.791518725	-4.595119866
pHILIC_892.6501_5	-51654.10336	212875.3413	-0.818150904	0.416588803	0.791518725	-4.595119866
nRPLC_309.2801_11.4	91500.88832	1040582.328	0.811520066	0.420354451	0.794002852	-4.595119867
pRPLC_344.2796_7.8	89218.98311	447862.8718	0.803911441	0.424700559	0.797548142	-4.595119867
nHILIC_302.1148_6.5	-10386.26036	78872.66527	-0.785122037	0.435547953	0.799858939	-4.595119869
nRPLC_409.3322_11.2	2922.333955	25299.81616	0.779897946	0.438592784	0.799858939	-4.595119869
pHILIC_282.119_6.7	14071.5081	531899.9303	0.77607206	0.440830619	0.799858939	-4.59511987
