""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"VCL"	0.280333725066964	-3.885215568	1.32672145452797	0.189536717093793	0.830933758714757	-5.05778593253463
"PFN1"	0.276690300526786	-4.22834809043333	1.32577250273305	0.189849103812312	0.830933758714757	-5.05892957682179
"AZGP1"	-0.150970184669643	2.59385973453333	-1.3103887513506	0.1949676579614	0.835057537845588	-5.07736220888035
"SERPINA6"	-0.140618224683036	0.165188511966667	-1.30637076174138	0.196321474129261	0.835057537845588	-5.0821431824319
"LV147"	-0.171613996401785	-0.143172612533333	-1.28226193128477	0.204593171511089	0.858154691615956	-5.11053953993769
"FLNA"	0.267466730683036	-4.22405177918333	1.27111368890321	0.208504807551447	0.862581532610095	-5.1235016791594
"HV102"	-0.35402399315625	0.47023649265	-1.25738259880728	0.213398697472684	0.86962147950003	-5.13931995447207
"IGFBP3"	0.144263986142857	-1.17249797178333	1.250273456909	0.215965599213584	0.86962147950003	-5.14744589175573
"APOM"	-0.10883000578125	2.16812413775	-1.22225742551586	0.22630318396421	0.899257388910413	-5.17904411220812
"ACTA1"	0.203827536875001	-4.18240328883333	1.19101960317681	0.238250945477812	0.915592783517128	-5.21347466557381
"PZP"	-0.317911393549107	0.136932229916667	-1.17840522405994	0.243202844282708	0.915592783517128	-5.22713808781871
"COLEC11"	-0.200635032897321	-4.2836667782	-1.15405576701992	0.252970166647338	0.915592783517128	-5.25312050537572
"MBL2"	-0.342258506370536	-3.98967042035	-1.15107569892803	0.254184536081408	0.915592783517128	-5.25626489755529
"IGHA2"	-0.360942425758928	0.9138937675	-1.14214834677275	0.257847265972689	0.915592783517128	-5.26563807076872
"F11"	0.171256193870536	-1.76101759373333	1.12676217776533	0.264247651733839	0.915592783517128	-5.28162898822075
"CFP"	-0.149422944861607	-2.43737590686667	-1.12206841984036	0.266222337540379	0.915592783517128	-5.28646596233718
"SERPING1"	-0.222628699758928	3.57238800528333	-1.11648307719363	0.268585648391983	0.915592783517128	-5.29219655986514
"NCAM1"	0.230326116116071	-2.47193533891667	1.11113789756142	0.270861128179713	0.915592783517128	-5.29765512326942
"ABCF1"	-0.147409518977678	-2.24977836505	-1.10240527367211	0.274607726110466	0.915592783517128	-5.30651902548766
"CFHR5"	0.160147861566964	-2.8946429642	1.09040158776444	0.279816679682518	0.915592783517128	-5.3185937965224
"FN1"	0.136441305843749	6.4020247027	1.08726918002349	0.281187225578497	0.915592783517128	-5.32172390283311
"TPM4"	0.262277947575893	-4.15310018931667	1.08265626341426	0.283214038426824	0.915592783517128	-5.32631770538931
"KV133"	-0.166635544267857	-2.95699921438333	-1.08137157115559	0.283780304798105	0.915592783517128	-5.32759373862958
"LV151"	0.219059418566964	-1.65095514138333	1.07983390473466	0.28445910927045	0.915592783517128	-5.32911912969088
"LV657_2"	0.279124295816964	-3.33367262243333	1.06839972178193	0.289542049623631	0.915592783517128	-5.34039667607836
"SCP2"	0.211942662330357	-3.23046960531667	1.06247577379005	0.292199980623836	0.915592783517128	-5.3461941296899
"C1RL"	0.231402788017857	-1.13304977261667	1.06189708444505	0.292460522059312	0.915592783517128	-5.34675880182959
"EFEMP1"	0.273320561727678	-1.22457638281667	1.05774478720885	0.294334686040227	0.915592783517128	-5.35080184920102
"C4B"	-0.258390748660714	-0.7305689935	-1.05098640002594	0.297402733387666	0.915592783517128	-5.35734985449001
"C4BPA"	-0.124102444522321	3.45236707476667	-1.0480080289505	0.298761728818281	0.915592783517128	-5.36022269857058
"AFM"	0.134690316098214	3.78163652996667	1.04781987721574	0.298847722656101	0.915592783517128	-5.36040392054051
"F13B"	-0.130703973339286	0.175771615933333	-1.04358654530537	0.300787022545221	0.915592783517128	-5.36447306025647
"APOB"	0.106929749401785	5.80509499696667	1.03839623343382	0.303176418383155	0.915592783517128	-5.3694404302404
"CFD"	0.16118261778125	-3.66591215568333	1.02815047547939	0.307930985800884	0.92074413576106	-5.37917609841339
"GPR116"	0.156085384504464	-1.81184533713333	1.01533111838914	0.313950686202245	0.92954026699096	-5.39122623575397
"PRDX2"	-0.187218314888392	-5.33817896833333	-0.99638178213188	0.322993284371496	0.936796254169739	-5.4087714063531
"KLKB1"	0.0786327932187499	2.27090191596667	0.994348802201611	0.323973656554063	0.936796254169739	-5.41063478987884
"HRG"	0.0936366922187499	3.80617308343333	0.981178517356553	0.330372882749612	0.936796254169739	-5.42261731505475
"APOA2"	-0.0918125334330359	4.32624402271667	-0.97038625008027	0.335678750942106	0.936796254169739	-5.43232115285434
"MASP2"	0.136479326165178	-3.70327685961667	0.95119882285175	0.345250033390003	0.936796254169739	-5.4493170079185
"LDHB"	-0.224854820589285	-2.21873089076667	-0.937191012309529	0.35234907548859	0.936796254169739	-5.46151723204845
"C1QC"	0.078503419098214	1.9230611844	0.917942997389145	0.362257095702756	0.936796254169739	-5.47799514103471
"LUM"	0.0703493531026784	0.728350827416667	0.912429587013428	0.365127797778279	0.936796254169739	-5.48265393888632
"MCAM"	-0.140820172959821	-4.41327733481667	-0.902768042598921	0.370193336190548	0.936796254169739	-5.49075214874933
"LV321.1"	0.207213257758928	-0.06010743535	0.90085200466526	0.371203203999634	0.936796254169739	-5.49234820110793
"KVD16"	0.0960949639374999	-1.59961657731667	0.898004890318542	0.372707037234578	0.936796254169739	-5.4947137501523
"MMRN1"	-0.0949377749776784	-3.33941366441667	-0.885576602605338	0.379316799464426	0.936796254169739	-5.50495464618532
"IGF2"	0.0619814857098213	-3.06606069205	0.868322014920806	0.388614998434499	0.936796254169739	-5.51894218295489
"PSTK"	-0.0785677923794645	-5.72543254456667	-0.863961435756987	0.39098716996235	0.936796254169739	-5.52243469963914
"KVD33_2"	-0.133694252325893	-1.93313676138333	-0.861431558730965	0.392367554358506	0.936796254169739	-5.52445310290144
"PCYOX1"	0.15536352959375	-3.34371707013333	0.846792705618773	0.40041430656386	0.936796254169739	-5.53601911655161
"PROC"	0.0824645081205355	-2.49544767371667	0.842753240353669	0.40265250779066	0.936796254169739	-5.53917663751088
"SERPINF1"	0.0656408847589285	1.71391089505	0.841506321583327	0.40334495428459	0.936796254169739	-5.54014834010328
"HNRNPM"	-0.150529579276786	-3.05368978806667	-0.837957577812728	0.405319660580876	0.936796254169739	-5.54290613547541
"PLG"	0.0437731507901779	4.9057785716	0.833909869898511	0.407579230174614	0.936796254169739	-5.54603780528338
"HPX"	0.0489487398616065	6.58462570545	0.809044169057226	0.421628163005446	0.936796254169739	-5.56495129256103
"LV657"	0.24962736015625	-3.77542922891667	0.809003723501523	0.421651249067635	0.936796254169739	-5.56498160094776
"CLU.1"	-0.0415901237723216	3.30893501108333	-0.800047055966775	0.426782344971743	0.936796254169739	-5.57165691583297
"CLU"	-0.0427535408794647	4.20205752631667	-0.793581930062002	0.430509159249695	0.936796254169739	-5.57643015848081
"F2"	0.043928236424107	4.92842729261667	0.791369016934413	0.431789223394469	0.936796254169739	-5.57805526521788
"C4BPB"	-0.0618515266517856	-1.03419163841667	-0.778267333322462	0.439414087383004	0.936796254169739	-5.58758584237137
"CAMP"	0.124201520674107	-4.78559792461667	0.772271361238222	0.442929860471483	0.936796254169739	-5.59189555773033
"ASS1"	-0.193470994883928	-3.50161017853333	-0.770198045782139	0.444149385096674	0.936796254169739	-5.59337819785641
"C1QA"	0.0576026908125001	2.1030845496	0.769501522226521	0.444559520752855	0.936796254169739	-5.59387541009804
"SAA1"	-0.229765646763393	-1.28743798141667	-0.765314226478384	0.447029798448	0.936796254169739	-5.59685521869476
"SCLT1"	0.0878437225223216	-5.32606370683333	0.762920739604767	0.44844541255793	0.936796254169739	-5.59855134407971
"C8G"	0.0624812935714284	1.54037241075	0.761699629486821	0.449168634830992	0.936796254169739	-5.59941466899674
"DBH"	-0.18375604759375	-1.86313252413333	-0.758627467887107	0.450991168156754	0.936796254169739	-5.60158069479068
"ITIH4"	0.0532965375312496	3.94830927801667	0.757706711352281	0.451538233306835	0.936796254169739	-5.60222820303456
"FCGBP"	0.135537293955357	-2.02986614186667	0.742456841797886	0.460654670972462	0.936796254169739	-5.61284033133132
"KVD28"	0.0933483751026788	-4.82638524076667	0.742075012411549	0.460884275868702	0.936796254169739	-5.61310332522467
"LV140"	0.126874671299107	-3.83003345928333	0.737453392969071	0.463668580815282	0.936796254169739	-5.61627605008488
"CST3"	-0.0903680357901785	-2.49693294443333	-0.736891205406744	0.464007925773706	0.936796254169739	-5.61666066337149
"APOC2"	0.122122904022321	2.1132595013	0.736505658125795	0.464240729859367	0.936796254169739	-5.61692426418091
"CDK5RAP2"	0.124966740883929	-4.87244590335	0.735020724693336	0.465137995789837	0.936796254169739	-5.61793825693512
"TF"	0.0421307000535707	9.39992131901667	0.731192392958077	0.467455803205753	0.936796254169739	-5.62054318722306
"CFI"	0.0575932135133928	1.94344004518333	0.727285723001665	0.469827787854387	0.936796254169739	-5.62318765973451
"CDHR5"	0.0788574800937499	0.307436675716667	0.711482038606119	0.47949242416345	0.936796254169739	-5.63374342019254
"PGLYRP2"	0.0522187043482142	1.69181374961667	0.711152138201263	0.479695350355298	0.936796254169739	-5.63396134404484
"SAA4"	-0.0941634932812499	1.51912943375	-0.711127132136638	0.479710733880197	0.936796254169739	-5.63397785836994
"PIGR"	0.144459459705357	-3.74728136571667	0.708769557588722	0.481162332224134	0.936796254169739	-5.63553226858353
"C8B"	-0.0677353942366071	0.6839063003	-0.693315896117694	0.490737826552254	0.936796254169739	-5.64559566174575
"OLFM1"	-0.0920047806517859	-4.19169684113333	-0.691094278526392	0.492122978050344	0.936796254169739	-5.64702444623551
"MSN"	0.121456961397321	-3.94314260935	0.687501063676529	0.494367845385129	0.936796254169739	-5.64932579884422
"LGALS3BP"	0.122088449723214	-1.64149566768333	0.682421074550536	0.497551129192486	0.936796254169739	-5.65255925625713
"ITIH2"	0.0414563618526784	4.83540675533333	0.664487353522872	0.50887784665415	0.936796254169739	-5.66378552189995
"SAA2"	-0.177684789267857	-4.00318055805	-0.662941454468876	0.509860660669214	0.936796254169739	-5.66473945716663
"PROZ"	-0.200903375517857	-2.40145343555	-0.655468096283097	0.514626207956466	0.936796254169739	-5.66932022176042
"NUP205"	-0.0944115543258927	-2.54539919186667	-0.654943325613312	0.514961728444532	0.936796254169739	-5.66963995601721
"SERPINA7"	0.0771849766919643	-0.556630918133333	0.654552716893876	0.51521154592565	0.936796254169739	-5.66987778382551
"CPN1"	0.0536377640982142	0.235108522983333	0.648855068691375	0.518862848586284	0.936796254169739	-5.67333099120981
"KV315"	-0.0786933936651786	2.32442428736667	-0.639402155031122	0.524950769145638	0.936796254169739	-5.67899455262037
