HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB00872	-0.210772081	5.267223274	-3.703242868	0.000464045	0.03887457	-0.185115665
HMDB01931	0.306357463	4.402393305	1.991802908	0.050933038	0.470039178	-4.299285623
HMDB60038	0.072899029	5.912205836	1.864755959	0.067090546	0.475525885	-4.523086767
HMDB31057	0.031424929	5.631520874	1.211408	0.230471287	0.620351882	-5.460327612
HMDB31057	0.030045883	5.802712798	1.55072869	0.126206539	0.553879924	-5.019346075
HMDB06547	0.012659885	5.390816982	0.262867808	0.793549714	0.902523091	-6.131466052
HMDB11686	-0.135179863	4.437205038	-0.965094143	0.338357338	0.738442029	-5.715723982
HMDB00672	-0.025235618	4.796560062	-0.970510197	0.335674186	0.738442029	-5.710707402
HMDB00672	-0.01198848	5.119856744	-0.278276989	0.781752991	0.900089489	-6.127416143
HMDB04702	-0.000477689	5.190503207	-0.014492849	0.988484692	0.997751736	-6.164946807
HMDB13622	0.062087975	5.547872399	1.547861947	0.126895091	0.553879924	-5.023493069
HMDB00772	-0.021447345	4.469127105	-0.587517679	0.559052648	0.820790933	-5.997689758
HMDB00772	0.031105564	4.613401321	0.883632821	0.380408539	0.742158562	-5.787889549
HMDB11531	0.005040007	4.161004851	0.171591987	0.864333608	0.939149063	-6.150734112
HMDB11531	-0.10760334	4.174522472	-1.352907828	0.181142653	0.579105057	-5.288779529
HMDB11531	-0.008565622	4.234643314	-0.220216013	0.826447762	0.919807701	-6.141475747
HMDB01999	-0.055853501	6.22264919	-0.935983676	0.353019943	0.742158562	-5.74222126
HMDB02925	0.054946322	6.183910368	1.751248172	0.084994948	0.500902503	-4.711955794
HMDB05060	0.077764222	6.061341965	2.083798239	0.041429846	0.418182507	-4.129229308
HMDB02231	0.027367784	5.989213026	0.704179426	0.484035242	0.789845474	-5.924938716
HMDB02212	-0.089588831	5.235279346	-1.829645025	0.072254169	0.475525885	-4.582637678
HMDB13034	0.031319973	4.053814265	1.332259379	0.187794707	0.579105057	-5.314924637
HMDB00782	0.04754341	5.439971419	1.805943236	0.075925295	0.480860199	-4.622268097
HMDB00782	0.011123066	4.595039162	0.272935411	0.785836644	0.900089489	-6.128846092
HMDB00782	-0.050778508	4.953155548	-2.188722704	0.032505433	0.390268143	-3.927252868
HMDB11532	-0.123742709	4.11788197	-1.820771021	0.073610818	0.475525885	-4.59752932
HMDB11532	-0.025515953	4.344833719	-0.865333489	0.390289965	0.742158562	-5.803249876
HMDB11532	-0.106632546	4.732231044	-3.514734583	0.000842483	0.03887457	-0.724037316
HMDB11534	0.078277152	4.264018868	1.238912055	0.220185222	0.602710395	-5.428385693
HMDB06528	0.023174614	6.362136131	0.609071217	0.544768166	0.814630175	-5.985225101
HMDB02226	0.047055306	5.987965733	1.190039242	0.238701339	0.637194484	-5.484673752
HMDB02823	0.061040302	4.689047698	1.467968585	0.147316656	0.574711985	-5.136214035
HMDB61714	0.079645563	4.352550592	1.970559516	0.053376342	0.475525885	-4.33760646
HMDB31923	-0.263589871	4.250321191	-4.47512079	3.45E-05	0.005891223	2.185620658
HMDB11539	0.027043411	4.745574898	0.438708545	0.662442668	0.862778152	-6.071609067
HMDB02007	0.017283641	4.664809951	0.27764161	0.78223842	0.900089489	-6.127587683
HMDB11536	0.063438846	4.30503996	0.819176624	0.415915781	0.742214349	-5.840600842
HMDB06322	0.056094625	4.786723802	1.307122011	0.196140359	0.581223266	-5.346243014
HMDB06246	0.04270002	4.549162173	1.158373783	0.251284703	0.66528655	-5.519992108
HMDB00949	0.003229292	5.200162416	0.319192532	0.750685104	0.900089489	-6.115546622
HMDB01032	0.049419245	6.522151375	0.682763708	0.497374343	0.789845474	-5.939263537
HMDB01032	0.036221977	7.152703227	0.540339047	0.59095607	0.83561653	-6.023424019
HMDB02759	0.016401616	5.814078166	0.232799825	0.816706266	0.915606955	-6.138705983
HMDB02759	0.062710422	6.796985651	0.776161515	0.440691361	0.769423296	-5.873608178
HMDB11550	0.031689079	4.422501106	0.516994949	0.607053331	0.83561653	-6.035369216
HMDB04666	0.070535192	4.753937933	0.915060311	0.363809536	0.742158562	-5.760780042
HMDB04666	0.170429353	4.039901909	1.563152171	0.123256998	0.553879924	-5.001292909
HMDB11542	-0.041170851	4.174141594	-0.482496217	0.631202721	0.849208177	-6.052065037
HMDB0000518	0.261550662	5.337995589	2.166249877	0.034260523	0.393890548	-3.971222589
HMDB0000518	0.12094906	5.600551109	1.730660187	0.08863388	0.500902503	-4.745073704
HMDB0000518	0.025061655	5.640636393	0.313617352	0.754895412	0.900089489	-6.117259328
HMDB00774	0.086950816	5.185921262	1.008379735	0.317306778	0.737116107	-5.67487274
HMDB0000619	-0.341173967	5.185684056	-2.488021412	0.01563	0.265710008	-3.305860446
HMDB11553	0.077346943	4.32351252	1.028051655	0.308037122	0.725667399	-5.655735364
HMDB41623	-0.01540735	4.248797701	-0.594192028	0.554609394	0.817985544	-5.993877314
HMDB00430	0.00663699	4.700434219	0.164492315	0.869894474	0.939149063	-6.151893896
HMDB00430	-0.061518081	5.528360054	-2.276198924	0.026403341	0.355344967	-3.75246547
HMDB12458	0.050741504	5.59759491	2.102701624	0.039680021	0.415518409	-4.093467033
HMDB11559	0.028611034	4.657843599	0.46620305	0.642752149	0.854357794	-6.05955271
HMDB11558	-0.019028663	5.049118018	-0.27521412	0.784093817	0.900089489	-6.128239458
HMDB11558	-0.034643811	4.69556996	-0.461759885	0.645917273	0.855046226	-6.061550314
HMDB00637	0.175514011	5.272615969	1.434083382	0.156720831	0.574711985	-5.182349531
HMDB00637	0.097899092	6.269330557	1.041370247	0.301866513	0.720536112	-5.64257636
HMDB11474	0.111010381	4.814644278	1.654723023	0.103183913	0.526852841	-4.864163855
HMDB00907	-0.012152788	5.274514847	-0.153613877	0.878427798	0.939149063	-6.153575994
HMDB00138	0.021883786	5.454164637	0.215200791	0.830337927	0.919807701	-6.142536812
HMDB02829	0.006991965	5.216414607	0.112848955	0.910525648	0.948708981	-6.158856673
HMDB02829	-0.080014912	4.906183421	-1.31975785	0.191911048	0.579105057	-5.330570347
HMDB11475	-0.011357165	6.0652979	-0.335062311	0.738742427	0.900089489	-6.11050679
HMDB10318	0.053131498	4.762304418	0.521036776	0.60425189	0.83561653	-6.033338407
HMDB00874	0.189852999	5.610924048	1.604590386	0.113816022	0.526852841	-4.940122133
HMDB11481	0.007188644	5.120536437	0.277869989	0.782063928	0.900089489	-6.12752607
HMDB02639	-0.068532256	5.206264265	-0.829399527	0.410153958	0.742158562	-5.832500531
HMDB00036	0.094497748	4.930477088	0.689272211	0.493299312	0.789845474	-5.934956069
HMDB00036	-0.018385188	4.556354629	-0.195065693	0.845998148	0.926296278	-6.146551074
HMDB11494	0.032615916	5.388267452	0.840917099	0.403721019	0.742158562	-5.823256873
HMDB11493	0.038616807	4.633780856	0.668823843	0.506163698	0.789845474	-5.948353916
HMDB10357	-0.095346319	5.043045725	-0.669378417	0.505812436	0.789845474	-5.947995796
HMDB10357	0.023096027	5.721215235	0.70283274	0.484868145	0.789845474	-5.92585232
HMDB61693	-0.058783727	4.35355487	-0.862975915	0.391574559	0.742158562	-5.805206037
HMDB61690	0.057095838	5.787062004	1.478305513	0.1445376	0.574711985	-5.121941014
HMDB00650	0.008103005	5.235507035	0.264354108	0.792409695	0.902523091	-6.131085442
HMDB00097	0.026824753	7.06218529	1.736871556	0.0875227	0.500902503	-4.735119203
HMDB00562	-0.035572782	7.90118063	-1.923004245	0.05921173	0.475525885	-4.422087209
HMDB00043	-0.013856493	7.625166878	-0.65849568	0.512729438	0.79240004	-5.954969974
HMDB00070	-0.036294459	6.123231149	-0.82329837	0.413586815	0.742158562	-5.837346704
HMDB00064	0.075607909	5.76973649	1.502926246	0.138084257	0.57115954	-5.087571723
HMDB03374	0.043017271	6.299348286	2.205546174	0.031243704	0.390268143	-3.894085411
HMDB00157	-0.007228341	6.625629462	-0.211130646	0.833498164	0.919807701	-6.143379989
HMDB00301	0.034210732	5.20160301	0.982525768	0.329771855	0.738442029	-5.699481094
HMDB04827	-0.031453871	6.887981547	-0.359912988	0.720171361	0.891419253	-6.102125671
HMDB00730	-0.106008777	5.865201486	-1.249483366	0.216322853	0.602710395	-5.415927773
